;nivel_carreira;valor_total_prefeitura_atual;id_proposta_atual;valor_total_prefeitura_proposta;id_proposta_proposta;impacto_mensal
0;1;1190902.24;situacao_atual;1230729.37;reajuste_ipc;39827.13000000012
1;2;592866.36;situacao_atual;622209.6;reajuste_ipc;29343.23999999999
2;3;439256.45;situacao_atual;467812.38999999996;reajuste_ipc;28555.939999999944
3;4;19552.55;situacao_atual;21677.27;reajuste_ipc;2124.720000000001
4;5;293683.39999999997;situacao_atual;340112.5;reajuste_ipc;46429.100000000035
5;6;767547.9400000001;situacao_atual;918049.22;reajuste_ipc;150501.2799999999
