;nivel_carreira;valor_total_prefeitura_atual;id_proposta_atual;valor_total_prefeitura_proposta;id_proposta_proposta;impacto_mensal
0;1;1184933.6700000002;situacao_atual;1235059.33;reajuste_ipc;50125.659999999916
1;2;589666.6799999999;situacao_atual;624224.16;reajuste_ipc;34557.4800000001
2;3;436818.23000000004;situacao_atual;467325.49999999994;reajuste_ipc;30507.269999999902
3;4;19419.56;situacao_atual;21659.98;reajuste_ipc;2240.4199999999983
4;5;295411.2;situacao_atual;339857.27;reajuste_ipc;44446.07000000001
5;6;759289.4;situacao_atual;917420.7000000001;reajuste_ipc;158131.30000000005
