;nivel_carreira;valor_total_prefeitura_atual;id_proposta_atual;valor_total_prefeitura_proposta;id_proposta_proposta;impacto_mensal
0;1;1831121.26;situacao_atual;2623452.6999999997;proposta_amci;792331.4399999997
1;2;576397.85;situacao_atual;830930.1;proposta_amci;254532.25
2;3;456061.88;situacao_atual;670869.9299999999;proposta_amci;214808.04999999993
3;4;19552.55;situacao_atual;30272.13;proposta_amci;10719.580000000002
4;5;256683.95999999996;situacao_atual;410312.5;proposta_amci;153628.54000000004
5;6;767547.9400000001;situacao_atual;1250616.0999999999;proposta_amci;483068.1599999998
