;nivel_carreira;valor_total_prefeitura_atual;id_proposta_atual;valor_total_prefeitura_proposta;id_proposta_proposta;impacto_mensal
0;1;1184933.6700000002;situacao_atual;1184933.6700000002;reajuste_ipc_gestao_nunes;0.0
1;2;589666.6799999999;situacao_atual;589666.6799999999;reajuste_ipc_gestao_nunes;0.0
2;3;436818.23000000004;situacao_atual;436818.23000000004;reajuste_ipc_gestao_nunes;0.0
3;4;19419.56;situacao_atual;19419.56;reajuste_ipc_gestao_nunes;0.0
4;5;295411.2;situacao_atual;295411.2;reajuste_ipc_gestao_nunes;0.0
5;6;759289.4;situacao_atual;759289.4;reajuste_ipc_gestao_nunes;0.0
