;nivel_carreira;valor_total_prefeitura_atual;id_proposta_atual;valor_total_prefeitura_proposta;id_proposta_proposta;impacto_mensal
0;1;1184933.6700000002;situacao_atual;1420462.8399999999;unificacao_amci;235529.1699999997
1;2;589666.6799999999;situacao_atual;682165.4400000001;unificacao_amci;92498.76000000013
2;3;436818.23000000004;situacao_atual;504116.79000000004;unificacao_amci;67298.56
3;4;19419.56;situacao_atual;22689.6;unificacao_amci;3270.0399999999972
4;5;295411.2;situacao_atual;343509.25;unificacao_amci;48098.04999999999
5;6;759289.4;situacao_atual;894620.7000000001;unificacao_amci;135331.30000000005
