;nivel_carreira;valor_total_prefeitura_atual;id_proposta_atual;valor_total_prefeitura_proposta;id_proposta_proposta;impacto_mensal
0;1;1448128.82;situacao_atual;1557585.27;reajuste_ipca;109456.44999999995
1;2;1146386.4200000002;situacao_atual;1254427.1800000002;reajuste_ipca;108040.76000000001
2;3;21389.42;situacao_atual;24010.54;reajuste_ipca;2621.1200000000026
3;4;109580.04999999999;situacao_atual;127255.95;reajuste_ipca;17675.90000000001
4;5;334506.02;situacao_atual;401582.22;reajuste_ipca;67076.19999999995
5;6;782307.36;situacao_atual;972296.64;reajuste_ipca;189989.28000000003
